location,year,average yearly temperature,growing degree days,extreme degree days,heating degree days,cooling degree days,total yearly precipitation,total harvesting precipitation,total planting precipitation,total growing season precipitation
Bouldin Island,2011,15.400497311108833,2464.601522827138,0.0,1444.7426821777262,374.2697007324239,484.0310038998723,77.96925865113735,261.9027551263571,339.87201377749443
Bouldin Island,2012,16.205792769968937,2726.2299011230343,0.0,1223.6745412597609,445.00689506836164,602.1653795614839,149.4779996573925,168.26264467090368,317.7406443282962
Bouldin Island,2013,16.25703425995301,2812.3386962890486,0.0,1272.5270812499946,514.6900861328148,141.60880539566278,38.45940157771112,62.89276480674744,101.35216638445856
Bouldin Island,2014,17.64341539356818,3233.253610229477,0.0,902.3766146972625,650.568733349612,512.5410854816437,70.18009386956692,99.92948640137911,170.10958027094603
Bouldin Island,2015,16.985541105923698,3018.1242004394403,0.0,1082.003367041012,590.0713707031276,293.16961392760277,80.84631152451038,44.53703574836254,125.38334727287292
Bouldin Island,2016,16.848991168913408,2914.103686523423,0.0,1032.414044140621,489.157011962893,644.4711070507765,132.5466251000762,220.66270653158426,353.20933163166046
Bouldin Island,2017,16.997677570499896,2956.167932128893,0.015309673988656259,1132.9315268066366,645.4293400390648,746.9720374792814,63.50878067314624,132.0104235783219,195.51920425146815
Bouldin Island,2018,16.70619849636141,2861.4165496826035,0.0,1102.6543670898398,508.76231826172113,430.3825590759516,87.22923044115305,186.86183542013168,274.09106586128473
Bouldin Island,2019,16.770774109722925,2866.8383453369015,0.0043312051851456725,1198.1706418945262,627.8486919433617,791.0522595047951,28.884424827992916,195.76946180313826,224.65388663113117
Bouldin Island,2020,16.491982792559707,1457.7486541748053,0.0007792048429320562,660.2821839843731,308.5905973632825,106.5410990267992,0.0,77.23264023661613,77.23264023661613
Humphrey,2011,18.30527496889327,3636.9895390920374,0.18455393483675733,1518.5470557115996,1508.317919357648,1143.0514927448335,346.32022727334595,511.1501442046102,857.4703714779562
Humphrey,2012,19.036801117934317,3723.757153757745,0.09153205755136627,1194.2305136740763,1451.7119228380436,922.4776772084242,326.8292156982129,332.99859175250583,659.8278074507188
Humphrey,2013,16.6763854853241,3088.9489184171825,0.004120792177816123,1779.12858216927,1174.3547843125705,1328.24399720443,393.08510229609215,517.8402435440253,910.9253458401174
Humphrey,2014,16.09146018453084,3009.6257463761967,0.0,1879.6948243842367,1061.4232917379918,1183.5852654536839,259.8001490008171,712.7744885066064,972.5746375074235
Humphrey,2015,17.721650054202758,3452.8713045354916,0.029325728891905187,1523.970792799281,1300.718562583294,1413.443719732116,460.168927009456,612.0138656248776,1072.1827926343337
Humphrey,2016,18.581277773511893,3656.938917191888,0.0513702466424361,1315.134957403673,1405.8948225090303,1193.473736709931,259.6910166881158,625.0001231666173,884.6911398547331
Humphrey,2017,18.19909210378225,3466.4876517942294,0.0006361431678770891,1241.0693882527419,1192.0835061332614,1443.6781921820218,391.7317894914887,648.5770538795637,1040.3088433710525
Humphrey,2018,17.432283163419946,3363.599245251267,0.011617744580940805,1701.0161453992332,1372.1450000475163,1732.5302815258892,524.5081021583538,586.1590872585356,1110.6671894168894
Humphrey,2019,17.659805786852232,3331.5026128060567,0.0039823290439597895,1587.9053617710483,1342.0799739721156,1565.5746783008158,362.06691681933717,806.8081930254837,1168.8751098448206
Humphrey,2020,16.427523442713262,1497.895572345695,0.0,821.9012867589738,457.89796431720686,855.1336843875932,0.0,540.9932092694996,540.9932092694996
Colby,2011,11.151209413380318,2098.9063929579615,0.002548377231485026,3277.5751881545707,656.1121240383912,566.6513942845709,177.9687576955845,322.38082232263196,500.3495800182165
Colby,2012,13.40791483472524,2480.558818122172,0.03786734311118055,2630.4909141125036,827.7999436219465,313.811714527433,89.13808012140422,166.41250880579986,255.55058892720405
Colby,2013,11.011160145214113,2121.2061315697865,0.009316040452142443,3351.4840876732133,678.903040676372,464.2486370448187,172.41099370618628,248.76319813655607,421.1741918427424
Colby,2014,10.820640571770179,2035.708250914104,0.0,3272.183139485862,530.0624481819802,485.4667277993682,156.47734168875402,256.86977099543435,413.34711268418835
Colby,2015,12.575527489710039,2275.729414991198,0.0,2768.7633831141516,667.1764168583234,618.7095942083579,228.07359459223636,360.2136423194356,588.287236911672
Colby,2016,12.587280662971631,2217.6267076048844,0.0,2694.300215163136,591.2571378107589,614.0300149918218,144.1581120490771,408.34636210223346,552.5044741513105
Colby,2017,12.331308552441554,2173.5463065944473,0.0,2796.2119643751475,605.4850860163195,666.0021059967139,267.1926423993501,360.20459695518645,627.3972393545365
Colby,2018,11.317502407288488,2101.2233281343256,0.0015454902391134145,3236.359130098652,675.5930087589559,662.2363095447256,239.7130210188574,330.35676278761866,570.0697838064762
